Q #,Question,Category,Rationale,End-users,Low score,Medium Score,High score,Uncertain or not applicable,"Northern Puget Sound: Samish Bay, Bellingham Bay, Lummi Bay, Drayton Harbor, Fidalgo Bay, Padilla Bay","Discovery Bay, Sequim Bay",Central Puget Sound ,Hood Canal,Willapa Bay,Netarts Bay ,Coos Bay ,Tomales Bay ,SF Bay North Bay/San Pablo Bay (north of Richmond Bridge),"SF Bay Richardson Bay, excluding Sausalito ",Elkhorn Slough ,Morro Bay,El Estero - Carpinteria Marsh ,Mugu Lagoon ,Long Beach Harbor- Terminal Island area ,Newport Bay,San Diego Bay,Estero de Punta Banda ,Bahia San Quintin,El Coyote
1,Is recruitment limited in the estuary?,Ecological,Aquaculture has potential to make biggest positive difference in estuaries with low recruitment,Conservation planners,Recruitment is generally high in this estuary,Some sites or years have recruitment failure,Estuary-wide recruitment failure is common,Not enough data to determine,2,0,1,0,0,1,1,2,1,2,2,2,2,0,2,0,0,NA,NA,NA
2,Is Olympia oyster population in estuary at risk of local extinction?,Ecological,Aquaculture has the potential to make the biggist positive difference in estuaries with very low adult populations,Conservation planners,Adult population stable; likelihood of local extinction very low,Adult population declining but not at immediately risk of local extinction,Adult population declining strongly or entirely absent; at high risk of local extinction from this estuary,Not enough data to determine,0,0,0,0,0,1,0,1,0,1,2,2,2,2,2,0,0,1,1,1
3,Is post-settlement mortality low?,Ecological,"Places with high post-recruitment survival should be prioritized, and/or mortality addressed before aquaculture techniques are implemented. (Not worth investing in aquaculture if most oysters will die from drill predation, freshwater event, etc.)",All end-users,Juveniles and adults have low survival rate (<20% of 10mm+ oysters survive 1 year),Juveniles and adults have medium survival rates (<50% of oysters survive 1 year),Juveniles and adults have high survival rates (>50% of oysters survive 1 year),Not enough data to determine,2,1,1,0,1,NA,0,1,1,0,2,NA,0,2,NA,1,1,NA,NA,NA
4,How isolated are populations in this area?,Ecological,"Estuaries or areas that are isolated and do not have larval exchange from nearby populations are more vulnerable to a potential loss of an entire population, and may benefit more from conservation aquaculture as a tool  ",Conservation Planners,"Not isolated at all (substantial Oly populations within 20 km along coastline from this area; OR based on currents or genetics, evidence that this population is quite connected to nearby populations) ","Moderately isolated (substantial Oly population between 20-100 km along coastline from this area; OR based on currents or genetics, evidence that this population has some connectivity to nearby populations","Very isolated (no substantial (>10,000 individuals) Oly population within 100 km along coastline from this area; OR based on currents or genetics, evidence that this is a largely closed population)",Unknown,1,2,1,0,0,2,1,1,0,1,2,2,1,1,0,0,0,2,2,1
5,Is there a nearby COMMERCIAL hatchery that can cost-effectively produce spat from local broodstock?,Hatchery infrastructure: Commercial,"A commercial hatchery is in the same estuary, to reduce shipping costs and risk of introducing disease etc., and to maximize output of spat for restoration (see Ted's draft list on READ ME tab)",All end-users,Hatchery that can cost-effectively produce millions of single Olys located >100 km away from estuary,"Hatchery located <100 km away, but not on same estuary",Hatchery located on same estuary,Unknown,2,2,2,2,0,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0
6,Is there a nearby RESTORATION hatchery that can produce spat from local broodstock?,Hatchery infrastructure: Restoration only,"A small scale hatchery (e.g. a marine lab, university)  in the same estuary that can produce restoration-only sized batches of spat, to reduce shipping costs and risk of introducing disease etc.  This may also minimize risks associated with commercial production such as hatchery-driven selection, but the volume of spat produced will be lower.  (see Ted's draft list on READ ME tab)",All end-users,Hatchery that can cost-effectively produce thousands of Olys located >100 km away from estuary,"Hatchery located <100 km away, but not on same estuary",Hatchery located on same estuary,Unknown,2,2,2,2,0,2,2,1,1,1,2,1,1,0,0,0,0,1,0,0
7,Is it safe to eat shellfish?,Harvest,Areas where water quality allows for safe consumption of Olys can be used for commercial production or community harvesting.  Any area where consumption of Olys would endanger human health will be excluded from consideration for commercial production or community harvest (though not from restoration).  ,Commercial growers; Tribes and other communities interested in harvest,"Chronic unsafe conditions for shellfish consumption due to high E. coli, pesticides, etc.","Occasional unsafe conditions for shellfish consumption, e.g. due to red tides (Harmful Algal Blooms)",Generally safe conditions for shellfish consumption,Unknown,2,2,2,2,2,2,2,2,0,0,0,2,1,0,0,0,0,2,2,2
8,"Do regulations allow harvest of ""Olys""?",Harvest,Areas where harvest is allowed should be prioritized for community groups interested in harvest and commercial growers.  Areas where harvest is not allowed can still be used for restoration.  ,Commercial growers; Tribes and other communities interested in harvest,Harvest not allowed,Harvest allowed but certain areas of the estuary are resticted even within areas where oysters grow,Harvest allowed anywhere in the estuary (where oysters grow),Unknown,2,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,2,2,2
9,"Is post-settlement growth high, med or low?",Harvest,Sites with higher growth rates could be prioritized for areas of harvesting of oysters and commercial aquaculture; challenges to low growth rates should be ameliorated if possible before aquaculture techniques are implemented ,Commercial growers; Tribes and other communities interested in harvest,Growth is slower than average for the species,Growth is average,Growth is above average,Not enough data to determine,2,2,1,1,1,NA,NA,2,1,1,2,NA,NA,2,NA,2,2,NA,NA,NA
10,Are Olympia oysters or any other species of bivalves currently being farmed in this estuary?,Harvest ,"If the infrastructure exists for farming bivalves, Olympia oysters could more easily be integrated, and precedents have been set for farming bivalves (water quality, harvest, etc.) (see Ted's draft list on READ ME tab)",Commercial growers; Tribes and other communities interested in harvest,NO,,YES,Unknown,2,2,2,2,2,2,2,2,0,0,0,2,0,0,0,0,1,2,2,2
11,"Is Olympia oyster restoration/enhancement part of the management plan/conservation plan of an agency (state or federal), NGO, Native American Tribe, or other organization in this estuary?",Restoration Infrastructure,Location and capacity of partners to lead restoration projects where permiting allows aquaculture.  Higher score will increase the chances of successful implementation of projects and future follow-through/investment by NGOs.,Conservation Planners,NO,,YES,Unknown,2,2,2,2,0,2,2,2,2,2,2,0,0,0,NA,2,2,0,0,0
12,Are there community or volunteer groups currently engaged in Olympia oyster restoration?,Community Engagement,Aquaculture-based restoration is likely to succeed and positively affect people where there are engaged communities,Conservation planners,No groups currently engaged ,1-5 communtiy groups engaged,>5 community groups engaged,Unknown,2,2,2,1,0,1,0,1,2,2,1,0,0,0,0,1,0,0,0,0
13,Are other community groups currently engaged in other species of bivalve/shellfish restoration?,Community Engagement,Existing capacity for volunteers engaged in restoration with similar species could indicate a capacity for/interest in incorporating Olympia oyster restoration in the future,"Conservation planners, Tribes and other communities interested in harvest",NO,,YES,Unknown,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
14,Are there Tribes and First Nations currently engaged in bivalve/shellfish restoration or wild harvest?,Community Engagement,"Tribal / First Nations communities are engaged in efforts to restore beds for future harvest, cultural importance, and/or conservation, either because they historically harvested native oysters and/or incorporated this species into their cultural practices. Tribal stewardship increases the chances of successful and long-term restoration and management of oyster populations.","Conservation planners, Tribes ",No Tribes / First Nations engaged in shellfish restoration or aquaculture,1 or more Tribes / First Nationsengaged in shellfish retstoration or aquaculture,1 or more Tribes / First Nations engaged in oyster restoration/aquaculture,Unknown,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
15,Are other community groups currently engaged in oyster/bivalve/shellfish culture for harvest (non-commercial groups)?,Community Engagement,"Communities that harvest bivalves, including oysters, can increase the success of restoration efforts via the stewardship, maintenance and management of oyster beds ","Conservation Planners, Commercial Growers",No groups currently engaged ,1-2 communtiy groups engaged,> 2 community groups engaged,Unknown,2,2,2,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
16,Are there known risks to the production of Crassostrea or other species of aquacultured oysters?,Commercial Growing Potential,"If this estuary has known threats (e.g. acidification, disease), then Olys may diversify portfolio",Commerical growers,No major problems to date with Crassostrea production related to acidification or disease,"Some issues with Crassostrea that might not affect Olys (acidification, disease, etc.)",Extensive problems with Crassostrea production from threats might apply less to Olys,NA if no aquaculture in estuary,2,0,1,1,1,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,1
,,,,,,,Goals based,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ecological ,0.63,0.38,0.38,0,0.13,0.5,0.25,0.63,0.25,0.5,1,0.75,0.63,0.63,0.5,0.13,0.13,0.38,0.38,0.25
,,,,,,,,Harvest ,1,0.88,0.75,0.75,0.75,0.63,0.63,1,0.25,0.25,0.38,0.63,0.13,0.25,0.13,0.38,0.5,0.75,0.75,0.75
,,,,,,,,Community Engagement Restotation,1,0.75,1,0.63,0.25,0.38,0.38,0.38,0.5,0.5,0.38,0,0,0,0,0.38,0.25,0,0,0
,,,,,,,,Community Engagement Harvest,1,0.92,0.83,0.83,0.67,0.42,0.5,0.67,0.17,0.17,0.25,0.42,0.08,0.17,0.08,0.25,0.33,0.5,0.5,0.5
,,,,,,,,Coastwide Coservation ,0.91,0.69,0.75,0.56,0.31,0.53,0.47,0.63,0.31,0.38,0.5,0.38,0.22,0.22,0.16,0.25,0.25,0.34,0.31,0.28
,,,,,,,,Coastwide Planner,0.85,0.63,0.68,0.45,0.28,0.53,0.43,0.63,0.3,0.4,0.6,0.45,0.3,0.3,0.23,0.23,0.23,0.35,0.33,0.28
,,,,,,,,Restoration Practitioner,0.7,0.5,0.5,0.2,0.1,0.6,0.4,0.65,0.35,0.55,1,0.65,0.55,0.5,0.4,0.2,0.2,0.35,0.3,0.2
,,,,,,,,Community Groups Restoration,0.79,0.57,0.64,0.32,0.14,0.54,0.39,0.57,0.36,0.5,0.75,0.46,0.39,0.36,0.29,0.21,0.14,0.25,0.21,0.14
,,,,,,,,Community Groups Harvest,0.79,0.61,0.57,0.36,0.36,0.46,0.36,0.64,0.21,0.36,0.68,0.61,0.39,0.43,0.32,0.18,0.21,0.43,0.43,0.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"End user based, weighted (ecological *2)",,,,,,,,,,,,,,,,,,,,,
